mean_qber,std_qber,mean_counts,std_counts,autocorr_lag1_qber,skew_counts,kurtosis_counts,count_rate_diff,rl_kl_proxy,attack_label
0.02030752922,0.0018729074714343929,0.0,0.0,-0.11213988610265135,,,0.0,0.005307529219999999,1
0.020267562359999998,0.001640399007202708,0.0,0.0,-0.15816112185252926,,,0.0,0.0052675623599999985,1
0.020962861099999997,0.0021975600085899476,0.0,0.0,0.06884812417036457,,,0.0,0.005962861099999998,1
0.020973975559999997,0.0019053496310280085,0.0,0.0,0.17768019775007288,,,0.0,0.005973975559999997,1
0.020576750020000003,0.0021186783713848167,0.0,0.0,0.13071573871926673,,,0.0,0.0055767500200000035,1
0.0207749954,0.002069635003855733,0.0,0.0,-0.3793577766389377,,,0.0,0.0057749954,1
0.02130906986,0.0019930916439982885,0.0,0.0,-0.05025267629827013,,,0.0,0.006309069860000002,1
0.02058950782,0.0019052916248352815,0.02,0.13999999999999999,0.0527776920671762,6.857142857142859,45.020408163265344,-0.04,0.005589507819999999,1
0.02082802672,0.002059103906525759,0.0,0.0,-0.07052026012392627,,,0.0,0.005828026720000001,1
0.021264220979999998,0.002063593450599856,0.0,0.0,-0.15997499700054593,,,0.0,0.006264220979999999,1
0.020699672920000002,0.0017414582106874323,0.02,0.13999999999999999,0.0038595221552282805,6.857142857142859,45.020408163265344,-0.04,0.005699672920000003,1
0.020784567880000004,0.0020678282405455694,0.0,0.0,0.0875357894615579,,,0.0,0.005784567880000004,1
0.021156786219999998,0.0019515841196395126,0.0,0.0,-0.018380995889098507,,,0.0,0.006156786219999998,1
0.021515019079999996,0.002073306319104313,0.0,0.0,0.24669185949730818,,,0.0,0.006515019079999997,1
0.020968266979999997,0.002189930494851382,0.02,0.13999999999999999,-0.003971226363241558,6.857142857142858,45.02040816326532,0.04,0.005968266979999998,1
0.021124247219999996,0.0019049395787023827,0.0,0.0,-0.16397414337715113,,,0.0,0.006124247219999997,1
0.021590774860000002,0.0019653688772661992,0.02,0.13999999999999999,0.02833071454116172,6.857142857142858,45.02040816326532,0.04,0.006590774860000002,1
