timestamp,counts,qber,bg_noise,eve_intensity,attack_label
100000,0,0.018926675,0.014999634,0.025834395,1
100001,0,0.020000309,0.015001386,0.022385342,1
100002,0,0.022771936,0.015002783,0.01917674,1
100003,0,0.019873694,0.0150040295,0.021471333,1
100004,0,0.020299986,0.015005669,0.022462387,1
100005,0,0.024820676,0.015007399,0.023434428,1
100006,0,0.019849727,0.015007892,0.02378285,1
100007,0,0.02467128,0.015008375,0.024643779,1
100008,0,0.01848302,0.015009781,0.024820955,1
100009,0,0.02098323,0.015011771,0.024653744,1
100010,0,0.019580275,0.015013202,0.024122918,1
100011,0,0.023505127,0.015013006,0.02332567,1
100012,0,0.018695459,0.01501349,0.02300482,1
100013,0,0.022394052,0.015014658,0.024116196,1
100014,0,0.021832297,0.015017285,0.024855696,1
100015,0,0.017916715,0.015019095,0.024224302,1
100016,0,0.017067507,0.015018293,0.0237131,1
100017,0,0.019632732,0.015018583,0.023485843,1
100018,0,0.019991303,0.015019522,0.022524437,1
100019,0,0.019515043,0.01502139,0.02241742,1
100020,0,0.021837091,0.015022357,0.022926932,1
100021,0,0.020334292,0.01502254,0.022988355,1
100022,0,0.021435028,0.015023904,0.022918496,1
100023,0,0.020532364,0.015024518,0.022717813,1
100024,0,0.022111094,0.015025525,0.022990782,1
100025,0,0.021554053,0.015026287,0.02309186,1
100026,0,0.021757562,0.015027468,0.022628859,1
100027,0,0.019468896,0.015028227,0.02301221,1
100028,0,0.021997564,0.015028386,0.022777844,1
100029,0,0.021102645,0.015028761,0.022684414,1
100030,0,0.02448891,0.015028348,0.023083817,1
100031,0,0.022138543,0.015030265,0.022423547,1
100032,0,0.019951878,0.015032255,0.022084018,1
100033,0,0.018036017,0.015032332,0.021481715,1
100034,0,0.019375544,0.015032627,0.021172076,1
100035,0,0.020798935,0.01503126,0.021619555,1
100036,0,0.018195245,0.015032557,0.020854171,1
100037,0,0.02194962,0.0150330765,0.021067211,1
100038,0,0.019821838,0.015032723,0.020796472,1
100039,0,0.019721344,0.015034475,0.02100321,1
100040,0,0.022089053,0.0150341755,0.021417627,1
100041,0,0.020939006,0.015034523,0.021577818,1
100042,0,0.01968137,0.015035974,0.020990022,1
100043,0,0.024658455,0.015036737,0.021887757,1
100044,0,0.020121647,0.015038066,0.021457767,1
100045,0,0.021856522,0.015037361,0.021320095,1
100046,0,0.021289999,0.0150373215,0.021408277,1
100047,0,0.021676062,0.015037411,0.021502001,1
100048,0,0.018808777,0.0150370775,0.02211678,1
100049,0,0.019699927,0.015037194,0.02272157,1
100050,0,0.02215516,0.015037075,0.023346143,1
100051,0,0.023503255,0.015038052,0.023529464,1
100052,0,0.020081926,0.01503743,0.023653079,1
100053,0,0.024118664,0.015037015,0.023765687,1
100054,0,0.022612566,0.0150389625,0.022896487,1
100055,0,0.02101446,0.015041144,0.023079462,1
100056,0,0.020600181,0.015041383,0.022422008,1
100057,0,0.01835496,0.015042374,0.021846503,1
100058,0,0.018316675,0.015039904,0.021919299,1
100059,0,0.02107249,0.015040582,0.02243398,1
100060,0,0.02332332,0.015041197,0.02244016,1
100061,0,0.018610552,0.015042322,0.022429101,1
100062,0,0.021306194,0.015042397,0.0217922,1
100063,0,0.020612003,0.015042794,0.020874413,1
100064,0,0.019932851,0.015043292,0.020633541,1
100065,0,0.023208147,0.015043547,0.021057136,1
100066,0,0.021173252,0.015044025,0.021308681,1
100067,0,0.020101607,0.015043341,0.0222723,1
100068,0,0.021946043,0.015045165,0.021813195,1
100069,0,0.02012199,0.015044931,0.023054756,1
100070,0,0.020451358,0.015045665,0.023801064,1
100071,0,0.019781195,0.015048049,0.023662236,1
100072,0,0.016650857,0.0150488,0.022664823,1
100073,0,0.022934979,0.015048167,0.02288629,1
100074,0,0.019209834,0.01504653,0.022954699,1
100075,0,0.019138768,0.015048263,0.023861852,1
100076,0,0.020354114,0.015048994,0.023183202,1
100077,0,0.02535397,0.015050039,0.023127228,1
100078,0,0.022016969,0.015050886,0.02231689,1
100079,0,0.022751542,0.015051931,0.021769827,1
