timestamp,counts,qber,bg_noise,eve_intensity,attack_label
400000,0,0.014747237,0.014998847,0.0,0
400001,0,0.017227048,0.015000428,0.0,0
400002,0,0.017220676,0.015002453,0.0,0
400003,0,0.014405466,0.015002491,0.0,0
400004,0,0.010193991,0.015002062,0.0,0
400005,0,0.014959847,0.015000678,0.0,0
400006,0,0.015703874,0.015003057,0.0,0
400007,1,0.01461975,0.0150045445,0.0,0
400008,0,0.016151084,0.01500509,0.0,0
400009,0,0.013521065,0.015006247,0.0,0
400010,0,0.016370514,0.015006643,0.0,0
400011,0,0.014382073,0.015006755,0.0,0
400012,0,0.01638554,0.015007505,0.0,0
400013,0,0.014872695,0.015006656,0.0,0
400014,0,0.014022939,0.015007549,0.0,0
400015,0,0.014214346,0.015006646,0.0,0
400016,0,0.015015996,0.015005919,0.0,0
400017,0,0.01438097,0.0150076365,0.0,0
400018,0,0.013763924,0.015008854,0.0,0
400019,0,0.014402822,0.01501017,0.0,0
400020,0,0.01496521,0.015010216,0.0,0
400021,0,0.012887866,0.015009633,0.0,0
400022,0,0.0149711585,0.01501039,0.0,0
400023,0,0.018894598,0.015010682,0.0,0
400024,0,0.014316951,0.015009858,0.0,0
400025,0,0.015233892,0.0150097385,0.0,0
400026,0,0.015213639,0.015010407,0.0,0
400027,0,0.015227321,0.015010868,0.0,0
400028,0,0.014340572,0.015011788,0.0,0
400029,0,0.017273216,0.015013137,0.0,0
400030,0,0.013726753,0.015013608,0.0,0
400031,0,0.01374679,0.015012517,0.0,0
400032,0,0.016659927,0.015011327,0.0,0
400033,0,0.009450809,0.0150116375,0.0,0
400034,0,0.01379235,0.015012373,0.0,0
400035,0,0.015238752,0.015012703,0.0,0
400036,0,0.016629234,0.0150146885,0.0,0
400037,0,0.01209605,0.0150162205,0.0,0
400038,0,0.013177305,0.015016982,0.0,0
400039,0,0.013038422,0.0150170205,0.0,0
400040,0,0.012790481,0.01501761,0.0,0
400041,0,0.016706148,0.015018074,0.0,0
400042,0,0.015765075,0.015018015,0.0,0
400043,0,0.015022261,0.015017976,0.0,0
400044,0,0.016729074,0.015018434,0.0,0
400045,0,0.017706133,0.015019648,0.0,0
400046,0,0.019342514,0.0150221735,0.0,0
400047,0,0.013828596,0.015023243,0.0,0
400048,0,0.012965288,0.015025563,0.0,0
400049,0,0.01725624,0.015026605,0.0,0
