timestamp,counts,qber,bg_noise,attack_label
3500000,0,0.020120779,0.015000897,1
3500001,0,0.027150447,0.01500059,1
3500002,0,0.019815575,0.015002448,1
3500003,0,0.02227203,0.015002078,1
3500004,0,0.021153595,0.0150006935,1
3500005,0,0.021437464,0.0150021985,1
3500006,0,0.017499773,0.015002866,1
3500007,1,0.017468931,0.015003479,1
3500008,0,0.022389611,0.015003517,1
3500009,0,0.021187665,0.015004508,1
3500010,0,0.019675637,0.015006352,1
3500011,0,0.020266823,0.0150068505,1
3500012,0,0.023054134,0.015007286,1
3500013,0,0.021875305,0.01500835,1
3500014,0,0.018883469,0.01501008,1
3500015,0,0.018911228,0.015010926,1
3500016,0,0.022277515,0.015009573,1
3500017,0,0.019024665,0.01501084,1
3500018,0,0.022420216,0.01501138,1
3500019,0,0.02384977,0.015012092,1
3500020,0,0.02256874,0.015011683,1
3500021,0,0.024549183,0.015012267,1
3500022,0,0.020557526,0.015011221,1
3500023,0,0.021975415,0.015011406,1
3500024,0,0.020496111,0.015011051,1
3500025,0,0.019560141,0.015010199,1
3500026,0,0.02439807,0.0150110945,1
3500027,0,0.022409262,0.015012297,1
3500028,0,0.018850354,0.015012523,1
3500029,0,0.020388164,0.015014143,1
3500030,0,0.018785767,0.015014426,1
3500031,0,0.019806255,0.015015236,1
3500032,0,0.018698001,0.015016678,1
3500033,1,0.02141852,0.015016994,1
3500034,0,0.018702965,0.015017639,1
3500035,0,0.017681008,0.015019399,1
3500036,0,0.018761596,0.015020674,1
3500037,0,0.018633356,0.015020735,1
3500038,0,0.018900141,0.015021949,1
3500039,0,0.02358684,0.015020328,1
3500040,0,0.0194767,0.015020895,1
3500041,0,0.019530071,0.015021343,1
3500042,0,0.018239114,0.015021323,1
3500043,0,0.019975467,0.015022541,1
3500044,0,0.021003904,0.015024184,1
3500045,0,0.023377003,0.0150252525,1
3500046,0,0.017474484,0.015024591,1
3500047,0,0.020497119,0.015024344,1
3500048,0,0.017694982,0.015025566,1
3500049,0,0.019490879,0.015026616,1
3500050,0,0.020760104,0.015027257,1
3500051,0,0.020866692,0.015028628,1
3500052,0,0.023929795,0.015029745,1
3500053,0,0.023053374,0.015031163,1
3500054,0,0.02120647,0.015031176,1
3500055,0,0.023417236,0.015031959,1
3500056,0,0.015188337,0.015032943,1
3500057,0,0.017959327,0.015033684,1
3500058,0,0.019745536,0.015033418,1
3500059,0,0.021087654,0.01503465,1
3500060,0,0.016668735,0.015035191,1
3500061,0,0.019006051,0.015036329,1
3500062,0,0.023491537,0.015038409,1
3500063,0,0.017139558,0.015039812,1
3500064,0,0.018416155,0.015040145,1
3500065,0,0.020124156,0.0150407255,1
3500066,0,0.021800898,0.015040216,1
3500067,0,0.019452892,0.015039804,1
3500068,0,0.017352577,0.015042059,1
3500069,0,0.020309428,0.015042007,1
3500070,0,0.022286862,0.0150410505,1
3500071,0,0.020132937,0.015040613,1
3500072,0,0.01907294,0.015041058,1
3500073,0,0.02274642,0.015041888,1
3500074,0,0.019938553,0.015042588,1
3500075,0,0.021950142,0.015042089,1
3500076,0,0.017714268,0.015042779,1
3500077,0,0.019658022,0.015042693,1
3500078,0,0.02239836,0.015043085,1
3500079,0,0.016887251,0.015043352,1
3500080,0,0.020242743,0.01504457,1
3500081,0,0.018978784,0.015043408,1
3500082,0,0.023123581,0.015044671,1
3500083,0,0.021691917,0.015045829,1
3500084,1,0.022002626,0.015046747,1
3500085,0,0.021543942,0.015047402,1
3500086,0,0.016638923,0.015047958,1
3500087,0,0.022895748,0.01504841,1
3500088,0,0.02249045,0.015050591,1
3500089,0,0.023115415,0.01505233,1
3500090,0,0.018055871,0.0150543675,1
3500091,0,0.023379717,0.0150547195,1
3500092,0,0.01741798,0.0150562255,1
3500093,0,0.019114839,0.015056161,1
3500094,0,0.021182133,0.015055734,1
3500095,0,0.018803341,0.015056576,1
3500096,0,0.019476546,0.01505699,1
3500097,0,0.020387653,0.015056005,1
3500098,0,0.020086031,0.015056693,1
3500099,0,0.019104164,0.015056852,1
3500100,0,0.021379901,0.015057567,1
3500101,0,0.021011302,0.015059038,1
3500102,0,0.021761004,0.015058649,1
3500103,0,0.023605006,0.015059655,1
3500104,0,0.0187711,0.015060181,1
3500105,0,0.01956329,0.015060566,1
3500106,0,0.021010721,0.015060978,1
3500107,0,0.02346161,0.015062253,1
3500108,0,0.022223111,0.015063594,1
3500109,0,0.020856619,0.015065201,1
3500110,0,0.022917248,0.015064998,1
3500111,0,0.021935081,0.015065042,1
3500112,0,0.025703363,0.0150660155,1
3500113,0,0.023858689,0.015067024,1
3500114,0,0.023255097,0.015068851,1
3500115,0,0.019596493,0.015069467,1
3500116,0,0.018446086,0.0150715215,1
3500117,0,0.02360159,0.015070939,1
3500118,0,0.020029007,0.015070339,1
3500119,0,0.019225933,0.015070123,1
3500120,0,0.019913634,0.01507071,1
3500121,0,0.022527874,0.01507248,1
3500122,0,0.02189504,0.01507166,1
3500123,0,0.02081608,0.015072442,1
3500124,0,0.020173807,0.015073266,1
3500125,0,0.018915271,0.015075072,1
3500126,0,0.017570237,0.0150774205,1
3500127,0,0.021837441,0.015077069,1
3500128,0,0.018544411,0.015079115,1
3500129,0,0.02212414,0.015080073,1
3500130,0,0.020086855,0.015081182,1
3500131,0,0.018074455,0.015082348,1
3500132,0,0.021074716,0.015082499,1
3500133,0,0.01799388,0.015081597,1
3500134,0,0.021581585,0.015084617,1
3500135,0,0.02018037,0.015087651,1
3500136,0,0.025665177,0.015089352,1
